;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.2949;-0.1027;0.2428;27;7.58181624088;0.0229;57.92555492799;0.0257;427870315686445440;0.5732;0.0372;-2.148;0.029;-1.883;0.033;1.063;15.990962;0.002788;16.548985;0.003891;15.276412;0.003248;1.272573;;;1.247;2544.387;400.292;652.936;1.0;1.2926553892525947;0.019019952213280962;0.9371332630216659;0.05632473180088595
1;-0.296;-0.0881;0.2478;27;7.58614686736;0.037;57.92517328448;0.04;427870315686446080;0.5607;0.0591;-2.151;0.047;-1.861;0.054;0.971;16.985855;0.002819;17.595882;0.006393;16.241806;0.004194;1.354076;;;1.249;1822.575;188.769;346.689;1.0;1.106817323738097;0.0017778108934795006;0.0;0.09472524887516015
2;-0.2839;-0.1386;0.2487;26;7.57196875317;0.016;57.92239647569;0.0176;427870315686447744;0.551;0.0264;-2.204;0.021;-1.78;0.023;1.066;15.155266;0.002767;15.578286;0.003262;14.561965;0.003048;1.016321;;;1.218;4304.877;642.177;885.137;1.0;1.5976416811150715;0.009059058806250095;0.9362492318250247;0.048010449028245965
3;-0.2902;-0.1274;0.2496;27;7.56167113666;0.0107;57.93066312648;0.0118;427870384405915776;0.506;0.0175;-2.158;0.013;-1.857;0.015;1.13;14.146779;0.002762;14.493402;0.002894;13.620599;0.002839;0.872803;;;1.21;5631.46;1413.135;2062.579;1.0;1.9058037421087415;0.05680504190146717;1.5411733131893817;0.08583519053444597
4;-0.3312;-0.0768;0.2014;27;7.59693233722;0.0113;57.9376346565;0.0121;427870453125390720;0.5303;0.0182;-2.152;0.014;-1.941;0.017;1.006;14.250044;0.002765;14.529199;0.00301;13.789596;0.002959;0.739603;;;1.204;4732.834;962.478;1103.195;1.0;2.0700613954208857;0.0014363370779347643;0.0;0.0
5;-0.2893;-0.0645;0.2282;27;7.6012162156;0.0097;57.93466917703;0.0108;427870246966963200;0.5022;0.016;-2.049;0.012;-2.014;0.014;0.996;13.929553;0.002772;14.212686;0.002915;13.481079;0.002836;0.731606;;;1.195;3598.369;1287.345;2141.01;1.0;2.2379424964345476;0.001240482092548811;0.0;0.07228571668892979
6;-0.3024;-0.087;0.2774;26;7.5917437351;0.0387;57.9197478097;0.0403;427870315686452096;0.5295;0.0605;-2.183;0.049;-1.795;0.055;1.02;17.021368;0.002839;17.596207;0.009721;16.267357;0.004785;1.32885;;;1.27;1586.727;116.6;279.296;1.0;1.1024396033454784;0.001843295476250117;0.0;0.07817726220979798
7;-0.3346;-0.0881;0.2097;27;7.59859029;0.0092;57.93817732203;0.0102;427870453125390592;0.5324;0.0151;-2.093;0.011;-1.898;0.013;0.973;13.79539;0.002764;14.069403;0.002882;13.349221;0.002831;0.720181;;;1.198;5074.792;1501.87;2274.965;1.0;2.3088540177849977;0.0011344919575959483;0.0;0.05991131682919667
8;-0.284;-0.0774;0.2603;27;7.56141984806;0.0076;57.92017107605;0.0085;427870350046186496;0.522;0.0126;-2.161;0.01;-1.901;0.011;1.075;13.141751;0.002766;13.380348;0.002848;12.745997;0.002819;0.634351;;;1.188;4381.299;1904.587;2688.637;1.0;2.616503677254904;0.001184913330618846;0.0;0.0
9;-0.3255;-0.0646;0.1617;26;7.59981295518;0.0072;57.94175496982;0.0086;427870453125389440;0.5127;0.0123;-2.044;0.009;-1.929;0.011;0.923;13.05302;0.002763;13.34424;0.002828;12.593192;0.002815;0.751048;;;1.198;5179.196;2360.77;2917.82;1.0;2.5934866619719923;0.02030372772371841;1.5650779271513668;0.12391028549051171
10;-0.3339;-0.0943;0.208;27;7.60923522546;0.0103;57.93544137558;0.0117;427870246966963712;0.5074;0.0171;-2.115;0.013;-1.911;0.015;1.029;14.180864;0.002767;14.510304;0.00293;13.676368;0.002908;0.833937;;;1.205;4349.62;1212.525;1326.166;1.0;2.0223869952644393;0.014828094796804242;1.253647366312596;0.04740205096235578
