;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1068;0.0029;0.0352;28;342.07055564039;0.0599;46.33955995161;0.061;1984146797647588992;1.409;0.0835;0.251;0.076;-1.938;0.077;0.992;17.72677;0.002979;18.760946;0.015704;16.704123;0.005754;2.056824;;;1.359;959.532;70.257;215.762;0.98;0.5989147994272519;0.0014500786740712826;0.0;0.04556289359146633
1;-0.3098;-0.1358;0.0993;28;342.06737130161;0.0201;46.30807663344;0.0212;1984145977313571328;1.4541;0.0285;0.419;0.027;-1.682;0.027;1.624;14.729065;0.00279;15.216308;0.003884;13.97158;0.005299;1.244728;;;1.309;2479.647;401.838;241.018;1.0;0.922080134306122;0.020326604982952707;0.779780897447764;0.03613577196804004
2;-0.1747;-0.0137;0.0763;28;342.06194037856;0.009;46.35442000576;0.0097;1984146870666761344;1.4319;0.0131;0.336;0.012;-1.735;0.012;1.072;12.800794;0.002762;13.101188;0.002821;12.338792;0.002814;0.762396;-8.54;4.4;1.194;5658.05;2598.503;2992.905;1.0;1.3980736418399078;0.010189252830139378;0.8690883957995448;0.05277864720462635
3;-0.1477;-0.1282;0.0697;27;342.09420044704;0.012;46.34490892384;0.0118;1984146080392783232;1.4449;0.0164;0.407;0.015;-1.649;0.015;1.472;13.086253;0.00276;13.413783;0.002842;12.586483;0.00283;0.8273;;;1.203;6646.953;2002.893;2296.486;1.0;1.3166561485857813;0.010397913889367713;0.8420051744709931;0.05245818839371744
4;-0.131;-0.0381;0.0582;28;341.93630869158;0.0243;46.31402665067;0.0269;1984148038897862656;1.4847;0.0349;0.333;0.03;-1.59;0.034;0.954;16.087181;0.002801;16.749968;0.00477;15.303802;0.003446;1.446165;;;1.26;2156.234;280.656;536.657;1.0;0.7716462407860731;0.00061367305768191;0.0;0.02992155433814701
5;-0.0983;-0.0066;0.0536;28;341.92388795056;0.0715;46.32999065553;0.0742;1984148103319963136;1.4348;0.0995;0.261;0.09;-1.788;0.095;1.014;17.981743;0.003142;19.148228;0.027943;16.916866;0.008575;2.231361;;;1.37;718.982;39.05;133.911;1.0;0.5632768171975849;0.008566415054991958;0.23144892138525633;0.1457705482157883
6;-0.1398;-0.0154;0.0458;27;342.05322855443;0.0094;46.39212602022;0.0093;1984150100482162304;1.4409;0.0128;0.404;0.012;-1.655;0.012;0.93;13.567755;0.002769;13.933412;0.002969;13.031263;0.002903;0.902148;;;1.208;3979.117;1068.721;1355.595;1.0;1.2092908807258977;0.008129788450827074;0.6936130778105347;0.09338424642925632
7;-0.2576;-0.1433;0.1048;28;342.03280753388;0.0123;46.25176835924;0.0133;1984144087527967616;1.3916;0.0181;0.464;0.016;-1.676;0.018;1.025;9.370406;0.002765;9.394736;0.002819;9.288683;0.002811;0.106053;;;1.163;4609.134;2707.559;3212.316;1.0;3.175624755806205;0.0006629842659780026;0.0;0.0
8;-0.2359;-0.074;0.0136;28;342.11476914549;0.012;46.27583306938;0.0124;1984133917045413760;1.4342;0.017;0.39;0.015;-1.7;0.015;1.058;10.987809;0.002766;11.058365;0.002821;10.845975;0.002808;0.21239;;;1.159;4427.395;2608.653;3445.725;1.0;2.2604855423929138;0.0007632957756124024;0.0;0.0
9;-0.2737;-0.1977;0.0993;28;342.06973833781;0.0174;46.24659216358;0.0182;1984132405218514048;1.4376;0.0248;0.156;0.022;-1.791;0.022;1.063;11.017016;0.002787;11.099758;0.00284;10.849857;0.002803;0.249901;;;1.163;2595.078;2040.671;4080.252;1.0;2.229027455301313;0.012892842137697582;0.6797397196293972;0.43348186438676595
10;-0.1302;-0.0699;-0.0023;27;341.88983397751;0.049;46.31391149152;0.0553;1984148176336665216;1.4556;0.0711;0.365;0.064;-1.696;0.07;1.071;17.304441;0.003025;18.240118;0.015732;16.338575;0.006693;1.901543;;;1.331;869.259;70.125;178.476;1.0;0.6411712788281815;0.0011454687330043321;0.0;0.05669838179863593
11;-0.221;-0.0276;0.0587;27;342.09973405756;0.0097;46.39984114067;0.0102;1984147282983617280;1.4101;0.0137;0.541;0.012;-1.748;0.013;0.936;10.894362;0.002762;10.996291;0.002821;10.693602;0.002802;0.30269;;;1.167;5483.547;2603.559;4263.807;1.0;2.2095500768083287;0.03516766407441631;1.3825863159181906;0.06946383246144443
12;-0.1717;0.0461;0.0208;28;341.88456117301;0.0093;46.3218811529;0.0105;1984148176336662784;1.4687;0.0132;0.372;0.012;-1.722;0.013;0.957;12.938994;0.002764;13.255493;0.002848;12.456625;0.002809;0.798868;-10.84;4.39;1.198;5101.202;1900.178;3365.536;1.0;1.3558747911746958;0.010107973778900608;0.8667102406232435;0.048209053289893625
