;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.4416;0.0139;0.0889;21;105.77095664754;0.0603;-20.8182749756;0.0759;2929388461499732992;0.3094;0.092;-0.572;0.101;1.572;0.11;1.049;17.630098;0.002891;18.034601;0.008279;17.078815;0.006907;0.955786;;;1.199;1241.076;139.295;171.829;0.52;1.4342180977422578;0.03801586833773775;0.6121950575274175;0.49360613270859527
1;-0.4999;0.007;0.1119;20;105.7696394412;0.0588;-20.81780737334;0.0762;2929388461499731712;-0.0652;0.0893;-0.525;0.093;1.386;0.11;0.996;17.667898;0.003025;17.848885;0.011022;16.796783;0.015341;1.052101;;;1.553;868.866;101.82;71.974;0.59;1.4872275471418768;0.005595465111230543;0.20189952503250896;0.33987914536091035
2;-0.4259;0.0938;0.0005;21;105.76938521483;0.0211;-20.81864077815;0.027;2929388461499731840;0.0643;0.0348;-0.602;0.034;1.358;0.039;0.991;15.876268;0.002777;16.564169;0.003864;15.055108;0.00308;1.509061;;;1.282;3170.351;406.095;832.919;0.9;1.5455697418744752;0.0001978395350729185;0.7457673704118671;0.5322337277696338
3;-0.3179;0.0253;0.0609;21;105.76976117231;0.016;-20.81704499875;0.0198;2929388457194545024;0.1343;0.0263;-0.541;0.025;1.407;0.029;1.005;15.30619;0.002773;16.068796;0.005145;14.412791;0.003179;1.656005;;;1.318;3510.924;251.191;712.456;0.98;1.548946319880453;0.0013990513518982316;0.0;0.2393981189841212
4;-0.2748;0.0967;-0.0;22;105.7712237806;0.02;-20.81599470474;0.0254;2929388564578943616;0.1694;0.0343;-0.491;0.03;1.404;0.035;1.0;15.875795;0.002776;16.570251;0.003803;15.051565;0.003019;1.518686;;;1.282;3224.72;420.061;940.943;0.97;1.5456227139532428;0.00011987962929902265;0.5857988504848808;0.5342115993694562
5;-0.4884;-0.0183;0.1009;21;105.77403683537;0.0564;-20.8205625913;0.0752;2929388457196433792;-0.0585;0.0881;-0.565;0.092;1.318;0.109;1.029;17.654585;0.002886;18.058645;0.017606;17.044764;0.016377;1.013882;;;1.238;1265.847;62.458;67.28;0.56;1.4327347769236376;0.03810943700429502;0.6419438462691481;0.486344938710407
6;-0.2818;0.1186;0.0312;22;105.77222105173;0.0347;-20.81576327014;0.0459;2929388564572760192;0.1255;0.0578;-0.572;0.052;1.466;0.062;1.027;16.908684;0.002822;17.553654;0.009124;16.07481;0.005164;1.478844;;;1.308;1778.495;124.988;249.886;0.96;1.54164073385553;8.47898334983437e-05;0.0;0.26266690497928197
7;-0.3864;0.0172;0.0816;21;105.7709854634;0.0877;-20.8220241092;0.1108;2929388461493611008;0.2531;0.1395;-0.501;0.137;1.331;0.157;0.942;18.471491;0.003082;18.789845;0.02439;17.852186;0.017384;0.937658;;;1.286;786.877;44.81;63.275;0.76;1.2499375659448952;0.03628118689132726;0.6503049521552856;0.42303464312457173
8;-0.1762;0.1205;-0.1277;21;105.77425211159;0.0914;-20.8161083404;0.121;2929388564578938240;0.0992;0.1546;-0.364;0.138;1.241;0.164;1.057;18.530539;0.003563;18.608009;0.026034;17.919086;0.067921;0.688923;;;1.415;480.722;41.946;15.999;0.7;1.292178619819133;0.005126270145888241;0.0;0.12610894077655416
9;-0.3068;0.1244;0.0053;22;105.77467383009;0.0333;-20.81648116358;0.044;2929388564578938624;0.2426;0.0562;-0.48;0.051;1.413;0.06;0.966;16.883337;0.002817;17.234776;0.007779;16.267076;0.00638;0.967699;;;1.267;1854.387;149.532;189.238;0.81;1.523121406083086;0.006937337136696731;1.3700283522494967;0.05244316356871182
10;-0.4656;-0.0099;0.1202;21;105.77493630399;0.0474;-20.82065525152;0.0626;2929388564578947328;0.082;0.0756;-0.458;0.076;1.357;0.091;0.944;17.394178;0.002854;17.946983;0.00715;16.661604;0.006908;1.285379;;;1.262;1458.39;164.916;171.798;0.93;1.5383973705479703;3.3103488458530416e-05;0.0;0.04608825697324958
