;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0697;0.0355;0.2099;27;347.77462152605;0.0104;60.58118258516;0.0097;2014060974289800064;0.3348;0.0122;-3.715;0.013;-2.261;0.013;1.212;13.219759;0.002767;13.751608;0.002919;12.508067;0.002818;1.243541;;;1.255;4290.322;1267.069;2742.014;1.0;8.75704568426969;0.6314569886967615;3.6261229269775246;3.006620052143286
1;-0.0988;-0.1028;0.1851;28;347.76410152403;0.0408;60.58566935386;0.0376;2014061043009266560;0.3254;0.0465;-3.784;0.052;-2.312;0.049;1.029;16.807302;0.002814;17.470463;0.004777;16.014727;0.004004;1.455736;;;1.267;1902.106;279.975;378.097;0.99;2.1161030740751623;0.028854992620437937;0.4038051239011088;0.48615401402879205
2;-0.149;-0.0564;0.171;27;347.77190247569;0.0145;60.57864041076;0.014;2014060974289802240;0.3427;0.0171;-3.493;0.019;-2.202;0.019;1.074;14.578053;0.002769;15.128015;0.003117;13.853583;0.002871;1.274431;;;1.257;3947.133;781.594;1608.984;0.99;5.0864225805332515;0.2671676290269436;1.9049517926185968;1.136246057344013
3;-0.1062;-0.0916;0.1266;27;347.76042920594;0.027;60.58424928402;0.0233;2014061043009267456;0.3042;0.0293;-3.721;0.034;-2.289;0.031;0.978;15.787847;0.002782;16.415419;0.003611;15.006113;0.003053;1.409306;;;1.272;2819.321;473.731;875.598;1.0;2.791804708896592;0.18237363502545126;1.8856596796114957;0.2826671488273613
4;-0.1079;-0.0471;0.1486;24;347.75982280665;0.0578;60.58093439304;0.0579;2014060974283461760;0.367;0.0693;-3.599;0.074;-2.231;0.075;1.076;17.373661;0.002885;18.158976;0.009256;16.514174;0.005779;1.644802;;;1.281;1267.625;123.018;214.547;0.99;1.6502217157657386;0.011332813267959454;0.2618046457006191;0.38525041465191207
5;-0.0845;-0.0016;0.1577;26;347.77943078365;0.0304;60.58080151518;0.0283;2014061077369017472;0.2706;0.0355;-3.693;0.04;-2.427;0.036;1.123;16.113188;0.002797;16.784023;0.005506;15.29401;0.003505;1.490013;;;1.286;2257.249;228.744;511.654;0.94;2.5059495124953073;0.061964018980652985;1.495109322501511;0.09634335466713922
6;-0.0678;-0.048;0.2041;27;347.77299761104;0.0628;60.58759957727;0.059;2014060974289792128;0.3466;0.0728;-3.42;0.081;-2.238;0.077;1.089;17.52059;0.002905;18.454609;0.015752;16.556227;0.005484;1.898382;;;1.33;1179.494;70.032;229.992;0.95;1.4169337350998032;0.014061809717852801;0.6830731939492481;0.4173262041166887
7;-0.4261;0.2086;-0.0983;22;347.76959078392;0.0427;60.57661871136;0.0448;2014060974289805568;0.3785;0.0475;-3.716;0.06;-2.173;0.057;1.299;15.876454;0.003351;16.1105;0.019371;14.645158;0.015542;1.465343;;;1.893;569.025;56.639;71.012;0.99;3.0910566757935163;0.32861942984883635;2.031565224888062;0.3787805749309151
8;-0.1714;-0.0768;0.1107;26;347.75722549422;0.0291;60.5812660801;0.0271;2014060974289793664;0.318;0.0326;-3.682;0.037;-2.242;0.036;1.097;15.89222;0.002786;16.540419;0.003893;15.095466;0.003169;1.444953;;;1.276;2617.275;399.867;723.124;1.0;2.783442744056949;0.12351674204614913;1.603671798441019;0.19280432383929247
9;-0.1614;0.0149;0.1348;27;347.78146015105;0.0159;60.5826572051;0.0149;2014061077369015808;0.3668;0.0182;-3.69;0.021;-2.359;0.02;0.991;14.81041;0.002767;15.456236;0.003289;14.015945;0.002948;1.44029;;;1.275;4230.342;623.791;1142.666;0.99;3.9451188140162348;0.11373871264642799;3.5932241448056437;0.27696671715085547
10;-0.1589;-0.0414;0.186;25;347.75437138132;0.0491;60.58307298683;0.0437;2014061043009265920;0.2857;0.0545;-3.709;0.062;-2.518;0.056;1.014;16.817776;0.00286;18.50902;0.01362;15.575995;0.003728;2.933024;;;1.474;1412.844;81.444;439.109;0.69;1.4191056503793404;0.02759288185793209;1.3502101904269677;0.025994670033797365
11;-0.065;-0.0687;0.1967;26;347.76984736235;0.0699;60.57512989495;0.0651;2014060974289807232;0.3388;0.0826;-3.783;0.092;-2.512;0.085;1.254;17.38892;0.003079;18.180548;0.012386;16.388966;0.010744;1.791582;;;1.407;789.768;89.973;104.649;0.77;1.525319831778075;0.03347824007417327;1.1188660872034133;0.03131963596585926
12;-0.1783;-0.016;0.1666;25;347.75319614094;0.0284;60.58203395541;0.0258;2014061043009459456;0.3093;0.0317;-3.78;0.037;-2.221;0.034;0.969;15.918786;0.002784;16.557297;0.003736;15.127381;0.003189;1.429915;;;1.275;2717.072;437.028;703.519;0.99;2.6900230425655893;0.14200063388039313;1.7109274665603165;0.2227619431786395
